name,format,version_current,python_min,outdated_python_min,optimize_count,optimize_codes,validate_passed,validate_errors,validate_warnings,version_latest,is_outdated,cve_count,cve_ids,error
django-nonefield,v0,0.4,,,0,,,,,,,,,
django-nyt,v0,1.3,,,0,,,,,,,,,
django-o11y,v1,0.7.0,3.12,,0,,,,,,,,,
django-oidc-provider,v1,0.9.0,3.10,,0,,,,,,,,,
django-online-issues,v1,0.2,3.10,,0,,,,,,,,,
django-orghierarchy,v0,0.3.0,,,0,,,,,,,,,
django-otlp-log-exporter,v0,1.0.3,,,0,,,,,,,,,
django-pattern-library,v0,1.1.0,,,0,,,,,,,,,
django-permissionedforms,both,0.1,3.9,True,0,,,,,,,,,
django-picklefield,v0,3.1,,,0,,,,,,,,,
django-plotly-dash,both,2.5.0,3.9,True,0,,,,,,,,,
django-plotly-wagtail,v0,0.2.0,,,0,,,,,,,,,
django-prometheus,v1,2.4.1,3.10,,0,,,,,,,,,
django-pydantic-models,v1,0.0.2,3.11,,0,,,,,,,,,
django-pygwalker,both,0.0.9,,,0,,,,,,,,,
django-rath,both,0.1.0,3.10,,0,,,,,,,,,
django-rating,v0,0.1.5,,,0,,,,,,,,,
django-read-only,v1,1.21.0,3.10,,0,,,,,,,,,
django-redis,v0,5.4.0,,,0,,,,,,,,,
django-registration,v0,5.1.0,,,0,,,,,,,,,
django-response,v0,1.1.1,,,0,,,,,,,,,
django-rest-framework,v0,0.1.0,,,0,,,,,,,,,
django-rest-framework-helpers,v0,8.5.0,,,0,,,,,,,,,
django-reversion,v0,5.0.5,,,0,,,,,,,,,
django-revproxy,v0,0.13.0,,,0,,,,,,,,,
django-river,v0,3.3.0,,,0,,,,,,,,,
django-robots,v0,6.1,,,0,,,,,,,,,
django-schema-viewer,v0,0.4.1,,,0,,,,,,,,,
django-secret-sharing,v0,0.7.0,,,0,,,,,,,,,
django-sekizai,v0,4.1.0,,,0,,,,,,,,,
django-sesame,v0,3.2.2,,,0,,,,,,,,,
django-simple-history,v0,3.7.0,,,0,,,,,,,,,
django-simple-menu,v0,2.1.2.post1,,,0,,,,,,,,,
django-six,v0,1.0.5,,,0,,,,,,,,,
django-slick-reporting,v0,1.3.0,,,0,,,,,,,,,
django-social-share,v0,2.3.0,,,0,,,,,,,,,
django-socio-grpc,v0,0.20.3,,,0,,,,,,,,,
django-soft-delete,v1,1.0.22,3.10,,0,,,,,,,,,
django-solo,v0,2.2.0,,,0,,,,,,,,,
django-sphinx-hosting,v0,1.4.1,,,0,,,,,,,,,
django-sql-dashboard,v0,1.2,,,0,,,,,,,,,
django-sql-explorer,v0,5.0.2,,,0,,,,,,,,,
django-star-ratings,v0,0.9.2,,,0,,,,,,,,,
django-statusboard,v0,0.13.0,,,0,,,,,,,,,
django-streamfield,v0,2.1.2,,,0,,,,,,,,,
django-structlog,v0,8.0.0,,,0,,,,,,,,,
django-stubs,v0,4.2.5,,,0,,,,,,,,,
django-stubs-ext,v0,4.2.5,,,0,,,,,,,,,
django-survey-and-report,v0,1.4.10,,,0,,,,,,,,,
django-tabular-permissions,v0,2.9.2,,,0,,,,,,,,,
django-tasks,both,0.11.0,3.10,,0,,,,,,,,,
django-tastypie,v0,0.15.0,,,0,,,,,,,,,
django-template-partials,v0,23.2,,,0,,,,,,,,,
django-tenant-schemas,v0,1.12.0,,,0,,,,,,,,,
django-tenant-users,v0,1.2.0,,,0,,,,,,,,,
django-tenants,v0,3.7.0,,,0,,,,,,,,,
django-test-plus,v0,2.4.1,3.10,,0,,,,,,,,,
django-tex,v0,1.1.10,,,0,,,,,,,,,
django-theme-academy,v0,0.3.9,,,0,,,,,,,,,
django-timezone-field,v0,6.0,,,0,,,,,,,,,
django-tinymce,v0,3.7.1,,,0,,,,,,,,,
